question,date,response
Did you take your medicine?,"2023-08-31",1
Did you take your medicine?,"2023-09-01",1
Did you take your medicine?,"2023-09-02",0
Did you take your medicine?,"2023-09-03",1
Did you take your medicine?,"2023-09-04",1
Did you take your medicine?,"2023-09-05",1
Did you take your medicine?,"2023-09-06",1
Did you take your medicine?,"2023-09-07",0
Did you take your medicine?,"2023-09-08",1
Did you take your medicine?,"2023-09-09",1
Did you take your medicine?,"2023-09-10",1
Did you take your medicine?,"2023-09-11",1
Did you take your medicine?,"2023-09-12",1
Did you take your medicine?,"2023-09-13",1
Did you take your medicine?,"2023-09-14",0
Did you take your medicine?,"2023-09-15",1
Did you study German?,"2023-08-31",1
Did you study German?,"2023-09-01",1
Did you study German?,"2023-09-02",1
Did you study German?,"2023-09-03",0
Did you study German?,"2023-09-04",1
Did you study German?,"2023-09-05",1
Did you study German?,"2023-09-06",1
Did you study German?,"2023-09-07",1
Did you study German?,"2023-09-08",0
Did you study German?,"2023-09-09",1
Did you study German?,"2023-09-10",1
Did you study German?,"2023-09-11",1
Did you study German?,"2023-09-12",1
Did you study German?,"2023-09-13",0
Did you study German?,"2023-09-14",1
Did you study German?,"2023-09-15",1
Did you stand up at your desk at least half of the day?,"2023-08-31",1
Did you stand up at your desk at least half of the day?,"2023-09-01",1
Did you stand up at your desk at least half of the day?,"2023-09-02",1
Did you stand up at your desk at least half of the day?,"2023-09-03",0
Did you stand up at your desk at least half of the day?,"2023-09-04",1
Did you stand up at your desk at least half of the day?,"2023-09-05",1
Did you stand up at your desk at least half of the day?,"2023-09-06",1
Did you stand up at your desk at least half of the day?,"2023-09-07",1
Did you stand up at your desk at least half of the day?,"2023-09-08",0
Did you stand up at your desk at least half of the day?,"2023-09-09",1
Did you stand up at your desk at least half of the day?,"2023-09-10",1
Did you stand up at your desk at least half of the day?,"2023-09-11",1
Did you stand up at your desk at least half of the day?,"2023-09-12",1
Did you stand up at your desk at least half of the day?,"2023-09-13",0
Did you stand up at your desk at least half of the day?,"2023-09-14",1
Did you stand up at your desk at least half of the day?,"2023-09-15",1
Did you exercise?,"2023-08-31",1
Did you exercise?,"2023-09-01",1
Did you exercise?,"2023-09-02",1
Did you exercise?,"2023-09-03",0
Did you exercise?,"2023-09-04",1
Did you exercise?,"2023-09-05",1
Did you exercise?,"2023-09-06",1
Did you exercise?,"2023-09-07",1
Did you exercise?,"2023-09-08",0
Did you exercise?,"2023-09-09",1
Did you exercise?,"2023-09-10",1
Did you exercise?,"2023-09-11",1
Did you exercise?,"2023-09-12",1
Did you exercise?,"2023-09-13",0
Did you exercise?,"2023-09-14",1
Did you exercise?,"2023-09-15",1
